feature,mean_abs_shap
morgan_bit_1507,0.0
morgan_bit_1506,0.0
morgan_bit_1173,0.0
morgan_bit_1505,0.0
morgan_bit_1504,0.0
morgan_bit_1503,0.0
morgan_bit_1502,0.0
morgan_bit_1407,0.0
morgan_bit_1383,0.0
morgan_bit_1405,0.0
morgan_bit_1251,0.0
morgan_bit_82,0.0
morgan_bit_1273,0.0
morgan_bit_1272,0.0
morgan_bit_1271,0.0
morgan_bit_1270,0.0
morgan_bit_1269,0.0
morgan_bit_1268,0.0
morgan_bit_1267,0.0
morgan_bit_1266,0.0
morgan_bit_1265,0.0
morgan_bit_1264,0.0
morgan_bit_1263,0.0
morgan_bit_1262,0.0
morgan_bit_1261,0.0
morgan_bit_1260,0.0
morgan_bit_1190,0.0
morgan_bit_1259,0.0
morgan_bit_1258,0.0
morgan_bit_1191,0.0
morgan_bit_1256,0.0
morgan_bit_1254,0.0
morgan_bit_1192,0.0
morgan_bit_1253,0.0
morgan_bit_1275,0.0
morgan_bit_1276,0.0
morgan_bit_1277,0.0
morgan_bit_1289,0.0
morgan_bit_1299,0.0
morgan_bit_1298,0.0
morgan_bit_1297,0.0
morgan_bit_1296,0.0
morgan_bit_1295,0.0
morgan_bit_1294,0.0
morgan_bit_1293,0.0
morgan_bit_81,0.0
morgan_bit_1291,0.0
morgan_bit_1290,0.0
morgan_bit_1288,0.0
morgan_bit_1278,0.0
morgan_bit_1287,0.0
morgan_bit_1286,0.0
morgan_bit_1285,0.0
morgan_bit_1284,0.0
morgan_bit_1189,0.0
morgan_bit_1283,0.0
morgan_bit_1282,0.0
morgan_bit_1281,0.0
morgan_bit_1280,0.0
morgan_bit_1279,0.0
morgan_bit_1252,0.0
morgan_bit_1193,0.0
morgan_bit_1301,0.0
morgan_bit_1248,0.0
morgan_bit_1218,0.0
morgan_bit_1217,0.0
morgan_bit_1216,0.0
morgan_bit_1215,0.0
morgan_bit_1214,0.0
morgan_bit_1213,0.0
morgan_bit_1212,0.0
morgan_bit_1211,0.0
morgan_bit_1210,0.0
morgan_bit_1209,0.0
morgan_bit_1208,0.0
morgan_bit_1207,0.0
morgan_bit_1206,0.0
morgan_bit_1205,0.0
morgan_bit_1204,0.0
morgan_bit_1203,0.0
morgan_bit_1202,0.0
morgan_bit_1201,0.0
morgan_bit_1200,0.0
morgan_bit_88,0.0
morgan_bit_1198,0.0
morgan_bit_1197,0.0
morgan_bit_1196,0.0
morgan_bit_1219,0.0
morgan_bit_1220,0.0
morgan_bit_1221,0.0
morgan_bit_85,0.0
morgan_bit_1247,0.0
morgan_bit_1246,0.0
morgan_bit_1245,0.0
morgan_bit_1244,0.0
morgan_bit_1242,0.0
morgan_bit_1241,0.0
morgan_bit_1240,0.0
morgan_bit_1239,0.0
morgan_bit_83,0.0
morgan_bit_1237,0.0
morgan_bit_1235,0.0
morgan_bit_1222,0.0
morgan_bit_1233,0.0
morgan_bit_1232,0.0
morgan_bit_1231,0.0
morgan_bit_1230,0.0
morgan_bit_1229,0.0
morgan_bit_1228,0.0
morgan_bit_86,0.0
morgan_bit_1225,0.0
morgan_bit_87,0.0
morgan_bit_1223,0.0
morgan_bit_1300,0.0
morgan_bit_1302,0.0
morgan_bit_1404,0.0
morgan_bit_1184,0.0
morgan_bit_1374,0.0
morgan_bit_1373,0.0
morgan_bit_1372,0.0
morgan_bit_1371,0.0
morgan_bit_1370,0.0
